age group,home team,away team,court number,date and time
Under 11's,Market H Wildcats,Sparks,Court 2,25/04/2026 16:20
Under 12's,Swan,Sparks,Court 5,25/04/2026 15:00
Under 13's,Olney Galaxy,Marlow Kites,Court 5,25/04/2026 15:10
Under 11's,Little Sutton Green,Hatfield,Court 3,25/04/2026 16:20
Under 12's,Marlow Kites,Swan,Court 5,25/04/2026 15:30
Under 13's,Norfolk United,Olney Galxy,Court 5,25/04/2026 15:40
Under 11's,Lyndon Centre Sapphires,Norfolk United,Court 4,25/04/2026 16:20
Under 12's,BB Stars,Marlow Kites,Court 5,25/04/2026 16:00
Under 13's,Turnford,Norfolk United,Court 5,25/04/2026 16:10
Under 11's,Turnford,Hertford Hornets,Court 5,25/04/2026 16:20
Under 12's,Lyndon Crystals,BB Stars,Court 5,25/04/2026 16:30
Under 13's,Lyndon Emeralds,Turnford,Court 5,25/04/2026 16:40
